,Payment Date,Ending Balance
622,08-2023,18634.13
623,09-2023,15542.24
624,07-2023,18626.07
625,08-2023,17303.13
626,09-2023,17430.24
627,08-2023,16790.13
628,07-2023,19216.07
629,08-2023,17697.13
630,07-2023,18943.07
631,08-2023,17826.13
632,07-2023,17132.07
633,08-2023,16206.13
634,08-2023,16111.13
635,09-2023,15532.24
636,09-2023,15036.24
637,08-2023,17231.13
638,08-2023,17803.13
639,08-2023,16883.13
640,08-2023,18278.13
641,07-2023,17962.07
642,08-2023,16821.13
643,08-2023,18612.13
644,07-2023,17141.07
645,08-2023,15273.13
646,09-2023,15296.24
647,09-2023,15373.24
648,08-2023,16465.13
649,08-2023,16995.13
650,08-2023,17008.13
651,08-2023,16393.13
652,08-2023,17935.13
653,07-2023,19505.07
654,08-2023,16140.13
655,08-2023,17970.13
656,07-2023,18386.07
657,09-2023,17172.24
658,08-2023,16449.13
659,08-2023,15814.13
660,09-2023,16474.24
661,07-2023,19560.07
662,08-2023,18500.13
663,09-2023,15326.24
664,08-2023,15460.13
665,09-2023,16728.24
666,08-2023,17199.13
667,09-2023,16725.24
668,08-2023,17823.13
669,08-2023,17876.13
670,08-2023,15263.13
671,08-2023,18003.13
672,08-2023,16855.13
673,08-2023,18179.13
674,08-2023,17162.13
675,08-2023,18543.13
676,08-2023,16080.13
677,08-2023,15679.13
678,09-2023,16315.24
679,08-2023,16762.13
680,08-2023,17391.13
681,09-2023,15464.24
682,08-2023,15967.13
683,08-2023,16663.13
684,08-2023,16776.13
685,09-2023,15228.24
686,07-2023,17122.07
687,08-2023,17415.13
688,08-2023,16313.13
689,09-2023,18634.24
690,08-2023,17982.13
691,09-2023,15087.24
692,09-2023,15677.24
693,09-2023,16589.24
694,08-2023,16263.13
695,08-2023,17313.13
696,08-2023,17838.13
697,07-2023,18188.07
698,09-2023,15226.24
699,08-2023,15896.13
700,08-2023,17985.13
701,07-2023,16250.07
702,08-2023,16368.13
703,08-2023,15614.13
704,09-2023,15604.24
705,09-2023,16292.24
706,07-2023,18176.07
707,09-2023,15180.24
708,09-2023,15226.24
709,07-2023,17026.07
710,08-2023,18996.13
711,09-2023,15195.24
712,08-2023,17756.13
713,08-2023,15649.13
714,08-2023,16237.13
715,08-2023,17636.13
716,09-2023,16355.24
717,08-2023,16087.13
718,08-2023,17603.13
719,10-2023,16592.37
720,09-2023,15486.24
721,08-2023,18277.13
722,08-2023,18971.13
723,10-2023,15605.37
724,09-2023,16849.24
725,08-2023,15914.13
726,09-2023,16680.24
727,08-2023,18062.13
728,09-2023,16598.24
729,08-2023,17417.13
730,08-2023,16037.13
731,08-2023,18184.13
732,08-2023,15255.13
733,08-2023,16810.13
734,08-2023,17022.13
735,08-2023,17433.13
736,08-2023,15063.13
737,09-2023,17528.24
738,09-2023,15721.24
739,08-2023,17400.13
740,07-2023,18582.07
741,07-2023,18916.07
742,09-2023,15684.24
743,07-2023,19023.07
744,07-2023,19495.07
745,08-2023,17327.13
746,09-2023,16358.24
747,08-2023,16990.13
748,08-2023,16756.13
749,08-2023,16039.13
750,08-2023,17428.13
751,08-2023,16338.13
752,08-2023,17461.13
753,08-2023,18577.13
754,08-2023,18659.13
755,07-2023,19143.07
756,09-2023,15554.24
757,08-2023,16347.13
758,09-2023,15863.24
759,08-2023,16065.13
760,09-2023,17112.24
761,08-2023,16076.13
762,08-2023,15402.13
763,08-2023,16159.13
764,09-2023,16959.24
765,09-2023,15112.24
766,09-2023,15153.24
767,08-2023,15469.13
768,08-2023,16602.13
769,09-2023,15598.24
770,07-2023,16893.07
771,08-2023,18665.13
772,08-2023,16553.13
773,08-2023,16343.13
774,08-2023,15568.13
775,10-2023,15602.37
776,08-2023,15108.13
777,09-2023,16750.24
778,08-2023,17091.13
779,09-2023,16073.24
780,09-2023,15016.24
781,08-2023,15289.13
782,08-2023,16850.13
783,09-2023,15800.24
784,08-2023,16721.13
785,08-2023,17551.13
786,09-2023,17291.24
787,07-2023,17574.07
788,08-2023,17942.13
789,08-2023,18215.13
790,08-2023,17383.13
791,09-2023,15146.24
792,09-2023,15311.24
793,08-2023,16181.13
794,08-2023,16036.13
795,08-2023,17178.13
796,09-2023,16033.24
797,09-2023,15178.24
798,09-2023,15596.24
799,08-2023,16957.13
800,08-2023,17577.13
801,08-2023,18832.13
802,09-2023,15961.24
803,09-2023,16901.24
804,08-2023,17370.13
805,08-2023,16872.13
806,07-2023,17598.07
807,08-2023,15994.13
808,09-2023,16472.24
809,08-2023,15134.13
810,08-2023,19026.13
811,08-2023,16517.13
812,09-2023,17258.24
813,08-2023,16698.13
814,08-2023,17797.13
815,08-2023,16245.13
816,07-2023,17671.07
817,09-2023,15320.24
818,08-2023,17443.13
819,08-2023,17254.13
820,08-2023,15745.13
821,09-2023,15362.24
822,08-2023,18345.13
823,08-2023,16095.13
824,07-2023,19009.07
825,08-2023,17971.13
826,09-2023,15741.24
827,09-2023,15323.24
828,07-2023,18324.07
829,08-2023,16272.13
830,08-2023,16827.13
831,07-2023,19014.07
832,08-2023,15557.13
833,08-2023,18550.13
834,08-2023,16833.13
835,08-2023,17726.13
836,07-2023,17087.07
837,07-2023,18749.07
838,08-2023,16990.13
839,07-2023,18573.07
840,08-2023,17570.13
841,08-2023,15943.13
842,08-2023,15280.13
843,08-2023,15293.13
844,09-2023,16994.24
845,07-2023,17208.07
846,08-2023,15468.13
847,08-2023,17896.13
848,08-2023,17628.13
849,09-2023,15160.24
850,08-2023,16561.13
851,08-2023,18061.13
852,09-2023,17775.24
853,08-2023,16163.13
854,08-2023,16968.13
855,08-2023,18163.13
856,08-2023,16551.13
857,08-2023,19550.13
858,09-2023,15398.24
859,08-2023,15369.13
860,08-2023,17543.13
861,08-2023,17075.13
862,09-2023,17229.24
863,08-2023,17551.13
864,07-2023,17676.07
865,08-2023,18478.13
866,08-2023,17912.13
867,08-2023,17174.13
868,08-2023,18704.13
869,08-2023,16922.13
870,08-2023,16526.13
871,08-2023,17815.13
872,08-2023,17146.13
873,08-2023,16366.13
874,09-2023,17487.24
875,07-2023,18905.07
876,08-2023,18576.13
877,09-2023,15152.24
878,08-2023,15264.13
879,07-2023,17742.07
880,08-2023,16411.13
881,08-2023,17251.13
882,09-2023,16221.24
883,08-2023,17190.13
884,08-2023,17598.13
885,08-2023,15804.13
886,09-2023,16593.24
887,09-2023,15336.24
888,08-2023,15596.13
889,08-2023,15766.13
890,08-2023,16042.13
891,09-2023,15746.24
892,08-2023,15832.13
893,08-2023,17026.13
894,09-2023,15410.24
895,09-2023,15301.24
896,08-2023,16797.13
897,08-2023,16208.13
898,08-2023,17818.13
899,09-2023,17792.24
900,08-2023,17734.13
901,09-2023,15209.24
902,09-2023,15062.24
903,09-2023,15663.24
904,08-2023,17569.13
905,09-2023,16653.24
906,09-2023,15590.24
907,08-2023,16812.13
908,08-2023,18106.13
909,08-2023,15537.13
910,10-2023,15047.37
911,08-2023,16594.13
912,08-2023,17429.13
913,08-2023,18204.13
914,08-2023,17195.13
915,08-2023,17118.13
916,08-2023,17156.13
917,07-2023,17813.07
918,07-2023,18746.07
919,08-2023,15757.13
920,09-2023,15361.24
921,08-2023,17375.13
922,08-2023,16880.13
923,08-2023,16772.13
924,08-2023,15787.13
925,08-2023,16393.13
926,09-2023,15348.24
927,09-2023,16180.24
928,08-2023,15415.13
929,08-2023,17336.13
930,08-2023,16085.13
931,09-2023,16897.24
932,08-2023,16300.13
933,09-2023,15971.24
934,08-2023,17348.13
935,08-2023,16685.13
936,09-2023,15399.24
937,08-2023,17798.13
938,08-2023,19326.13
939,09-2023,15931.24
940,08-2023,17061.13
941,09-2023,15741.24
942,07-2023,18843.07
943,07-2023,16999.07
944,08-2023,18885.13
945,08-2023,16715.13
946,08-2023,18350.13
947,08-2023,16231.13
948,08-2023,17799.13
949,09-2023,15680.24
950,08-2023,17447.13
951,08-2023,18007.13
952,08-2023,17179.13
953,08-2023,18580.13
954,08-2023,17449.13
955,09-2023,15525.24
956,08-2023,18115.13
957,08-2023,15061.13
958,08-2023,16752.13
959,08-2023,17262.13
960,07-2023,19004.07
961,08-2023,16003.13
962,08-2023,16128.13
963,09-2023,16165.24
964,09-2023,15287.24
965,08-2023,15712.13
966,08-2023,18726.13
967,09-2023,15450.24
968,08-2023,18948.13
969,08-2023,17647.13
970,08-2023,17132.13
971,08-2023,16128.13
972,09-2023,16449.24
973,07-2023,19122.07
974,08-2023,15821.13
975,08-2023,15593.13
976,08-2023,17684.13
977,09-2023,15008.24
978,09-2023,16501.24
979,09-2023,16572.24
980,08-2023,18812.13
981,07-2023,18920.07
982,08-2023,15424.13
983,07-2023,17434.07
984,07-2023,18572.07
985,08-2023,15257.13
986,08-2023,16059.13
987,09-2023,16389.24
988,08-2023,16065.13
989,08-2023,16889.13
990,08-2023,16487.13
991,08-2023,16719.13
992,07-2023,18671.07
993,09-2023,15089.24
994,08-2023,16596.13
995,08-2023,17765.13
996,08-2023,16941.13
997,08-2023,15717.13
998,09-2023,16560.24
999,08-2023,15632.13
